RANK,GAME,NOTES
100,Journey,
99,Crash Bandicoot,
98,Homeworld,
97,Super Mario Galaxy 2,
96,Team Fortress 2,
95,League of Legends,
94,Super Metroid,
93,S.T.A.L.K.E.R.: Shadow of Chernobyl,
92,The Legend of Zelda: Skyward Sword,
91,Duke Nukem 3D,
90,Vampire The Masquerade: Bloodlines,
89,Max Payne,
88,Star Wars: Battlefront II (2005),
87,Left 4 Dead,
86,Heavy Rain,
85,Super Smash Bros. Brawl,
84,Grim Fandango,
83,Championship Manager,
82,Metal Gear Solid 4: Guns of the Patriots,
81,Dragon Age: Origins,
80,Okami,
79,System Shock 2,
78,Counter-Strike,
77,Age of Empires II: The Age of Kings,
76,Chrono Trigger,
75,Gears of War,
74,Sid Meier's Civilization,
73,Final Fantasy IX,
72,Metroid Prime,
71,Super Mario Galaxy,
70,Dead Space,
69,Uncharted 3: Drake's Deception,
68,StarCraft,
67,Elite,
66,Planescape Torment,
65,Metal Gear Solid 2: Sons of Liberty,
64,Silent Hill 2,
63,The Walking Dead,
62,Baldur's Gate II: Shadows of Amn,
61,The Elder Scrolls IV: Oblivion,
60,Final Fantasy VIII,
59,Kingdom Hearts,
58,Warcraft III: Reign of Chaos,
57,Portal,
56,The Legend of Zelda: The Wind Waker,
55,The Elder Scrolls III: Morrowind,
54,Call of Juarez,
53,Sonic the Hedgehog,
52,Diablo II,
51,Shenmue II,
50,The Legend of Zelda: Majora's Mask,
49,Resident Evil 2,
48,BioShock Infinite,
47,The Secret of Monkey Island,
46,Tomb Raider,
45,Final Fantasy X,
44,Super Mario Bros.,
43,Star Wars: Knights of the Old Republic,
42,Resident Evil,
41,Portal 2,
40,Street Fighter II,
39,Mario Kart 64,
38,Tetris,
37,Assassin's Creed II,
36,Half-Life,
35,The Legend of Zelda: A Link to the Past,
33,Shadow of the Colossus,
32,Doom,
31,Grand Theft Auto: Vice City,
30,Mass Effect,
29,Pokemon Red and Blue,
29,Pokemon Yellow,
28,Batman: Arkham Asylum,
27,Resident Evil 4,
26,Metal Gear Solid 3: Snake Eater,
25,Fallout 3,
24,Super Mario Kart,
23,The Legend of Zelda: Twilight Princess,
22,Uncharted 2: Among Thieves,
21,Call of Duty 4: Modern Warfare,
20,Super Mario World,
19,Grand Theft Auto: San Andreas,
18,Mass Effect 2,
17,Deus Ex,
16,Super Mario 64,
15,Half-Life 2,
14,BioShock,
13,Dark Souls,
12,Batman: Arkham City,
11,The Elder Scrolls V: Skyrim,
10,Halo: Combat Evolved,
9,Red Dead Redemption,
8,Grand Theft Auto V,
7,Shenmue,
6,GoldenEye 007,
5,Metal Gear Solid,
4,Final Fantasy VII,
3,World of Warcraft,
2,The Legend of Zelda: Ocarina of Time,
1,The Last of Us,
