RANK,GAME,NOTES
100,Worms Armageddon,
99,Phantasy Star IV: The End of the Millennium,
98,Phoenix Wright: Ace Attorney,
97,Wild Arms,
96,Pokemon Gold and Silver,
95,Dead Space,
94,Advance Wars: Dual Strike,
93,Teenage Mutant Ninja Turtles: Turtles in Time,
92,Fallout 3,
91,Halo: Combat Evolved,
90,Saints Row: The Third,
89,Valkyrie Profile,
88,Devil May Cry 3: Dante's Awakening,
87,God of War III,
86,Metal Gear Solid 3: Snake Eater,
85,Child of Eden,
84,Grandia II,
83,The Beatles: Rock Band,
82,Halo 3,
81,Rayman Legends,
80,Snatcher,
79,Dragon Quest VIII: Journey of the Cursed King,
78,Kingdom Hearts II,
77,Myst,
76,Viewtiful Joe,
75,Grim Fandango,
74,Metal Gear Solid 2: Sons of Liberty,
73,Jet Set Radio,
72,Grand Theft Auto IV,
71,Shenmue,
70,Grand Theft Auto V,
69,Amplitude,
68,Street Fighter II,*Listed as Street Fighter II: Championship Edition
67,Call of Duty 4: Modern Warfare,
66,Beyond Good & Evil,
65,Vagrant Story,
64,Donkey Kong Country,
63,Silent Hill,
62,Star Fox 64,
61,You Don't Know Jack!,
60,Deus Ex: Human Revolution,
59,Hotline Miami,
58,Conker's Bad Fur Day,
57,Xenogears,
56,Mass Effect 3,
55,Marvel vs. Capcom 2: New Age of Heroes,
54,Metal Gear Solid 4: Guns of the Patriots,
53,Final Fantasy Tactics,
52,Chrono Cross,
51,The World Ends With You,
50,Bayonetta,
49,Grand Theft Auto: Vice City,
48,Journey,
47,Max Payne,
46,Final Fantasy IX,
45,Super Mario World 2: Yoshi's Island,
44,Katamari Damacy,
43,Super Mario 64,
42,Castlevania: Symphony of the Night,
41,Psychonauts,
40,Uncharted 2: Among Thieves,
39,Final Fantasy VI,
38,Banjo-Kazooie,
37,Eternal Darkness: Sanity's Requiem,
36,Rock Band 3,
35,Power Stone 2,
34,Dance Dance Revolution,
33,Super Smash Bros. Melee,
32,Batman: Arkham City,
31,Tetris,
30,The Walking Dead,
29,Pokemon Red and Blue,
28,Rez,
27,Metroid Prime,
26,Super Mario Bros.,
25,Resident Evil 4,
24,Ico,
23,Final Fantasy X,
22,SoulCalibur,
21,EarthBound,
20,The Legend of Zelda: A Link to the Past,
19,Super Mario RPG: Legend of the Seven Stars,
18,Portal,
17,Super Mario World,
16,Final Fantasy VII,
15,Silent Hill 2,
14,Mass Effect 2,
13,The Legend of Zelda: The Wind Waker,
12,Okami,
11,GoldenEye 007,
10,BioShock,
9,The Legend of Zelda: Majora's Mask,
8,Braid,
7,Portal 2,
6,Half-Life 2,
5,Shadow of the Colossus,
4,Red Dead Redemption,
3,Super Metroid,
2,Chrono Trigger,
1,The Legend of Zelda: Ocarina of Time,
