RANK,GAME,NOTES
100,"Warioware, Inc.: Mega Microgames!",
99,Spec Ops: The Line,
98,"Papers, Please",
97,Driveclub,
96,Braid,
95,Super Hexagon,
94,Her Story,
93,Super Monkey Ball,
92,Final Fantasy XII,
91,Prince of Persia: Sands of Time,
90,Katamari Damacy,
89,Animal Crossing: New Leaf,
88,Resogun,
87,Puzzle Bobble,
86,F-Zero GX,
85,The Sims 3,
84,R-Type Final,
83,Elite: Dangerous,
82,Bomberman,
81,StarCraft II: Wings of Liberty,
80,Pac-Man: Championship Edition,
79,BioShock,
78,Call of Duty 4: Modern Warfare,
77,Puzzle & Dragons,
76,Tearaway,
75,League of Legends,
74,Super Meat Boy,
73,Xenoblade Chronicles,
72,Titanfall,
71,OutRun 2006: Coast 2 Coast,
70,Left 4 Dead,
69,Counter-Strike: Global Offensive,
68,Sid Meier's Civilization IV,
67,Rez,*Rez Infinite
66,Battlefield 4,
65,Metroid Prime,
64,Hearthstone,
63,Castlevania: Symphony of the Night,
62,Limbo,
61,Towerfall Ascension,*Listed as TowerFall
60,EarthBound,
59,Batman: Arkham Knight,
58,Transistor,
57,Puyo Puyo,
56,FTL: Faster Than Light,
55,Persona 4,*Listed as Shin Megami Tensei: Persona 4
54,Mass Effect 2,
53,Okami,
52,The Stanley Parable,
51,XCOM: Enemy Unknown,
50,Monster Hunter 4,*Listed as Monster Hunter 4 Ultimate
49,The Witcher 3: Wild Hunt,
48,Far Cry 4,
47,Little Big Planet 3,
46,Trials Fusion,
45,Nidhogg,
44,Fez,
43,Super Mario 3D World,
42,Journey,
41,Fire Emblem: Awakening,
40,Dead Space,
39,Dota 2,
38,Vanquish,
37,Super Mario Maker,
36,Shadow of the Colossus,
35,Halo 3,
34,The Legend of Zelda: Majora's Mask,
33,Spelunky,
32,Destiny,
31,The Legend of Zelda: A Link to the Past,
30,Kerbel Space Program,
29,Dishonored,
28,Splatoon,
27,Drop7,
26,The Legend of Zelda: The Wind Waker,
25,Rock Band,*Labeled as Rock Band Series
25,Rock Band 2,*Labeled as Rock Band Series
25,Rock Band 3,*Labeled as Rock Band Series
25,Rock Band 4,*Labeled as Rock Band Series
24,The Elder Scrolls V: Skyrim,
23,Uncharted 2: Among Thieves,
22,Ico,
21,Super Metroid,
20,Demon's Souls,
19,Advance Wars,
18,Mario Kart 8,
17,Street Fighter IV,
16,Metal Gear Solid V: The Phantom Pain,
15,Super Mario World,
14,Red Dead Redemption,
13,Star Fox 64,
12,Portal,
11,Bayonetta 2,
10,Minecraft,
9,Resident Evil 4,
8,The Legend of Zelda: Ocarina of Time,
7,Super Mario Galaxy 2,
6,Tetris,
5,Half-Life 2,
4,Bloodborne,
3,The Last of Us,
2,Grand Theft Auto V,
1,Dark Souls,
