RANK,GAME
50,NBA Jam
49,Star Wars: Battlefront II (2005)
48,Ratchet & Clank
47,Tekken 3
46,Oregon Trail
45,Counter-Strike: Global Offensive
44,Contra
43,Marvel vs. Capcom 2: New Age of Heroes
42,Gran Turismo 2
41,Wii Sports
40,Dark Souls
39,Mega Man 3
38,Tony Hawk's Pro Skater
37,Resident Evil
36,Final Fantasy XII
35,Pac-Man
34,Diablo II
33,Guitar Hero
32,Breakout
31,Mortal Kombat II
30,Sonic the Hedgehog
29,Pokemon Red and Blue
28,Dance Dance Revolution
27,Super Smash Bros.
26,Grand Theft Auto V
25,Fallout 3
24,Mike Tyson's Punch Out!!
23,Metal Gear Solid
22,Mass Effect
21,GoldenEye 007
20,Minecraft
19,Madden NFL '95
18,SimCity
17,Mario Kart 64
16,The Legend of Zelda: A Link to the Past
15,Red Dead Redemption
14,Fallout 4
13,Doom
12,World of Warcraft
11,Chrono Trigger
10,Pong
9,Street Fighter II
8,The Last of Us
7,Halo: Combat Evolved
6,Super Mario 64
5,Tetris
4,Super Mario Bros.
3,The Legend of Zelda: Ocarina of Time
2,Final Fantasy VII
1,Super Mario Bros. 3
