RANK,GAME,NOTES
100,Lemmings,
99,Colin McRae 2.0,
98,Unreal Tournament,
97,Tetris,
96,Dota,
95,Duke Nukem 3D,
94,Dungeon Master,
93,Ultima VI: The False Prophet,
92,Ikaruga,
91,FIFA International Soccer,*Listed as FIFA Series
91,FIFA Soccer 95,*Listed as FIFA Series
91,FIFA Soccer 96,*Listed as FIFA Series
91,FIFA 97,*Listed as FIFA Series
91,FIFA 98,*Listed as FIFA Series
91,FIFA 99,*Listed as FIFA Series
91,FIFA 2000,*Listed as FIFA Series
91,FIFA 2001,*Listed as FIFA Series
91,FIFA Soccer 2002,*Listed as FIFA Series
91,FIFA Soccer 2003,*Listed as FIFA Series
91,FIFA Soccer 2004,*Listed as FIFA Series
91,FIFA Soccer 2005,*Listed as FIFA Series
91,FIFA 06,*Listed as FIFA Series
91,FIFA 07,*Listed as FIFA Series
91,FIFA 08,*Listed as FIFA Series
91,FIFA 09,*Listed as FIFA Series
91,FIFA 10,*Listed as FIFA Series
91,FIFA 11,*Listed as FIFA Series
91,FIFA 12,*Listed as FIFA Series
91,FIFA 13,*Listed as FIFA Series
91,FIFA 14,*Listed as FIFA Series
91,FIFA 15,*Listed as FIFA Series
91,FIFA 16,*Listed as FIFA Series
91,FIFA 17,*Listed as FIFA Series
90,Thief: The Dark Project,
89,Omikron: The Nomad Soul,
88,Flashback,
87,The Legend of Zelda,
86,Populous,
85,Tony Hawk's Pro Skater,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Pro Skater 2,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Pro Skater 3,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Pro Skater 4,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Underground,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Underground 2,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's American Wasteland,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Project 8,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
85,Tony Hawk's Proving Ground,*Listed as Tony Hawk's Pro Skater Series -- sans Pro Skater 5 really
84,Out of This World,
83,System Shock 2,
82,Left 4 Dead 2,
81,Quake III Arena,
80,F-Zero GX,
79,Gran Turismo 2,
78,Planescape Torment,
77,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,
76,Monkey Island 2: LeChuck's Revenge,
75,Forza Horizon 3,
74,Uncharted 2: Among Thieves,
73,Civilization II,
72,Pro Evolution Soccer,*Listed as PES Series
72,Pro Evolution Soccer 2,*Listed as PES Series
72,Pro Evolution Soccer 3,*Listed as PES Series
72,Pro Evolution Soccer 4,*Listed as PES Series
72,Pro Evolution Soccer 5,*Listed as PES Series
72,Pro Evolution Soccer 6,*Listed as PES Series
72,Pro Evolution Soccer 2008,*Listed as PES Series
72,Pro Evolution Soccer 2009,*Listed as PES Series
72,Pro Evolution Soccer 2010,*Listed as PES Series
72,Pro Evolution Soccer 2011,*Listed as PES Series
72,Pro Evolution Soccer 2012,*Listed as PES Series
72,Pro Evolution Soccer 2013,*Listed as PES Series
72,Pro Evolution Soccer 2014,*Listed as PES Series
72,Pro Evolution Soccer 2015,*Listed as PES Series
72,Pro Evolution Soccer 2016,*Listed as PES Series
72,Pro Evolution Soccer 2017,*Listed as PES Series
71,Bloodborne,
70,Battlefield 2,
69,Beyond Good & Evil,
68,Super Mario Bros. 3,
67,Mega Man 2,
66,Myst,
65,Okami,
64,Baldur's Gate II: Shadows of Amn,
63,Grim Fandango,
62,Call of Duty 4: Modern Warfare,
61,Super Smash Bros. Melee,
60,Max Payne,
59,SoulCalibur II,
58,Hitman: Blood Money,
57,Sonic the Hedgehog 2,
56,Assassin's Creed II,
55,The Legend of Zelda: Ocarina of Time,
54,Secret of Mana,
53,Tomb Raider II,
52,Pokemon Gold and Silver,
52,Pokemon Crystal,
51,Legacy of Kain: Soul Reaver,
50,The Last of Us,
49,Doom,
48,Dead Space,
47,Dishonored,
46,Shenmue,
45,Donkey Kong Country,
44,Halo: Combat Evolved,
43,StarCraft,
42,Dark Souls,
41,Batman: Arkham City,
40,Portal 2,
39,Castlevania: Symphony of the Night,
38,Grand Theft Auto: San Andreas,
37,Age of Empires II: The Age of Kings,
36,God of War II,
35,Resident Evil,
34,Shadow of the Colossus,
33,BioShock,
32,Counter-Strike,
31,Warcraft III: Reign of Chaos,
30,Minecraft,
29,Metal Gear Solid,
28,Metroid Prime,
27,God of War III,
26,Super Mario Kart,
25,Silent Hill 2,
24,Super Metroid,
23,The Elder Scrolls V: Skyrim,
22,Super Mario Bros.,
21,Resident Evil 4,
20,Mass Effect 2,
19,Fallout 2,
18,Diablo II,
17,The Legend of Zelda: The Wind Waker,
16,The Elder Scrolls III: Morrowind,
15,Star Wars: Knights of the Old Republic,
14,Red Dead Redemption,
13,GoldenEye 007,
12,Chrono Trigger,
11,Uncharted 4: A Thief's End,
10,Grand Theft Auto V,
9,Metal Gear Solid 3: Snake Eater,
8,Street Fighter II,
7,The Legend of Zelda: Breath of the Wild,
6,Deus Ex,
5,Super Mario 64,
4,World of Warcraft,
3,Final Fantasy VII,
2,The Witcher 3: Wild Hunt,
1,Half-Life,
