RANK,GAME,
300,Yakuza 0,
299,Wii Sports,
298,Ace Combat 5: The Unsung War,
297,Alien: Isolation,
296,Amplitude,
295,Infamous,
294,The Chronicles of Riddick: Escape From Butcher Bay,
293,Monster Hunter: World,
292,Heroes of the Storm,
291,Myst,
290,Dance Dance Revolution,
289,NHL 09,
288,Duke Nukem 3D,
287,Splinter Cell: Blacklist,
286,Shadowrun Returns,
285,Dragon's Dogma,
284,Baseball Stars,
283,The Room,
282,Worms Armageddon,
281,Rayman Legends,
280,Dungeon Keeper,
279,NCAA Football 11,
278,Darksiders,
277,Paper Mario,
276,Need for Speed: Hot Pursuit,
275,Undertale,
274,Saints Row: The Third,
273,Star Wars: Battlefront (2004),
272,Ridge Racer,
271,The World Ends With You,
270,SSX 3,
269,Castle Crashers,
268,Pyre,
267,The Witcher 2: Assassins of Kings,
266,Little Big Planet,
265,Fatal Frame 2: Crimson Butterfly,
264,Axiom Verge,
263,Harvest Moon,
262,"Warioware, Inc.: Mega Microgames!",
261,Shovel Knight,
260,Skies of Arcadia,
259,Bubble Bobble,
258,Rainbow Six Vegas,
257,Tomb Raider (2013),
256,Persona 3,
255,Company of Heroes,
254,Phoenix Wright: Ace Attorney Trials and Tribulations,
253,Missile Command,
252,Neverwinter Nights,
251,Alpha Centauri,
250,Limbo,
249,Pac-Man: Championship Edition,
248,Mario's Picross,
247,Tekken 3,
246,Valkyrie Profile,
245,Space Invaders,
244,The Witness,
243,Ultima IV: Quest of the Avatar,
242,Day of the Tentacle,
241,Combat,
240,Mortal Kombat X,
239,Super Mario World 2: Yoshi's Island,
238,Double Dragon,
237,Tactics Ogre: Let Us Cling Together,
236,Titanfall 2,
235,Far Cry 3,
234,Castlevania,
233,Ori and the Blind Forest,
232,Darkest Dungeon,
231,Fire Emblem: Awakening,
230,Dead Rising 2,
229,What Remains of Edith Finch,
228,Defender,
227,Panzer Dragoon Saga,
226,Adventure,
225,Shadow of War,
224,Super Mario Odyssey,
223,Peggle,
222,Max Payne,
221,Fable II,
220,Valkyria Chronicles,
219,Plants vs. Zombies,
218,Bayonetta,
217,Sonic the Hedgehog,
216,The Legend of Zelda: Link's Awakening,
215,Shining Force II,
214,"King's Quest VI: Heir Today, Gone Tomorrow",
213,Angry Birds,
212,Pitfall!,
211,The Binding of Isaac,
210,Rainbow Six Siege,
209,Hot Shots Golf Fore!,
208,Shadowrun (SNES),
207,Call of Duty,
206,Jak & Daxter: The Precursor Legacy,
205,Ratchet & Clank: Up Your Arsenal,
204,The Stanley Parable,
203,Prince of Persia: Sands of Time,
202,Marvel vs. Capcom 2: New Age of Heroes,
201,Phantasy Star IV: The End of the Millennium,
200,"Papers, Please",
199,Silent Hill 2,
198,Marble Madness,
197,Lode Runner,
196,Star Wars Jedi Knight: Dark Forces II,
195,Homeworld,
194,Centipede,
193,Donkey Kong Country,
192,Amnesia: The Dark Descent,
191,ActRaiser,
190,Command & Conquer: Red Alert,
189,FIFA 15,
188,Medieval II: Total War,
187,Twisted Metal 2,
186,Zork,
185,Assassin's Creed,
184,Dragon Quest VIII: Journey of the Cursed King,
183,Super Meat Boy,
182,EverQuest,
181,Super Mario Bros. 2,
180,Battlefield 1942,
179,Splinter Cell: Chaos Theory,
178,Asteroids,
177,Guitar Hero,
176,Bejeweled,
175,Dragon Age: Inquisition,
174,Left 4 Dead,
173,Burnout 3: Takedown,
172,Ultima VII: The Black Gate,
171,The Elder Scrolls IV: Oblivion,
170,Ninja Gaiden,
169,Grim Fandango,
168,Crash Bandicoot: Warped,
167,Stardew Valley,
166,Super Bomberman,
165,NBA 2K11,
164,Suikoden II,
163,Spelunky,
162,Advance Wars,
161,Gears of War 2,
160,Rocket League,
159,Diablo,
158,Dig Dug,
157,Dark Souls II,
156,Tomb Raider,
155,Fallout: New Vegas,
154,Thief: The Dark Project,
153,Super Mario RPG: Legend of the Seven Stars,
152,ESPN NFL 2K5,
151,Devil May Cry 3: Dante's Awakening,
150,The Walking Dead,
149,Destiny,
148,Path of Exile,
147,Portal 2,
146,Warcraft III: Reign of Chaos,
145,Divinity: Original Sin II,
144,Pac-Man,
143,Geometry Wars Retro Evolved,
142,Tecmo Super Bowl,
141,Dragon Age: Origins,
140,Warlords,
139,Age of Empires II: The Age of Kings,
138,Metal Gear Solid 2: Sons of Liberty,
137,Persona 4,
136,Pong,
135,Ico,
134,Street Fighter III,*Listed as Street Fighter III: Third Strike
133,Katamari Damacy,
132,Horizon: Zero Dawn,
131,Wizardry: Proving Grounds of the Mad Overlord,
130,SoulCalibur,
129,Mega Man X,
128,The Legend of Zelda: Majora's Mask,
127,Final Fantasy X,
126,Batman: Arkham City,
125,PlayerUnknown's Battlegrounds,
124,Hearthstone,
123,Gauntlet,
122,Wolfenstein 3D,
121,Gran Turismo 3: A-Spec,
