RANK,GAME
100,Firewatch
99,Cart Life
98,BioShock Infinite
97,The Walking Dead
96,Star Fox 64
95,Xenoblade Chronicles
94,Hellblade: Senua's Sacrifice
93,The Witness
92,Kentucky Route Zero
91,The Beatles: Rock Band
90,Streets of Rage 2
89,Grand Theft Auto II
88,Missle Command
87,Uncharted 4: A Thief's End
86,The Jackbox Party Pack
85,Elite Beat Agents
84,Paper Mario: The Thousand Year Door
83,Ico
82,The Talos Principle
81,Half-Life
80,Phantasy Star IV: The End of the Millennium
79,Conker's Bad Fur Day
78,Hotline Miami
77,Viewtiful Joe
76,Ninja Gaiden
75,Half-Life 2
74,Halo 3
73,Three Fourths Home
72,Mass Effect 3
71,The Binding of Isaac
70,Katamari Damacy
69,Street Fighter II
68,Mega Man 2
67,Galaga
66,GoldenEye 007
65,Titanfall 2
64,Banjo-Kazooie
63,Dishonored
62,Grim Fandango
61,Hitman: Blood Money
60,Spec Ops: The Line
59,Grand Theft Auto: San Andreas
58,Super Mario World 2: Yoshi's Island
57,"Warioware, Inc.: Mega Microgames!"
56,Braid
55,Batman: Arkham Asylum
54,Super Mario Galaxy 2
53,Super Mario Kart
52,Doom
51,Mega Man 3
50,Bayonetta
49,Killer7
48,Jet Set Radio
47,Beyond Good & Evil
46,Dark Souls
45,Spelunky
44,BioShock
43,Animal Crossing
42,Left 4 Dead 2
41,Grand Theft Auto V
40,Super Mario RPG: Legend of the Seven Stars
39,The Legend of Zelda: Breath of the Wild
38,Fallout 2
37,Rock Band 3
36,Inside
35,The Legend of Zelda: The Wind Waker
34,The Witcher 3: Wild Hunt
33,Journey
32,Gone Home
31,Super Mario Odyssey
30,StarCraft
29,Psychonauts
28,Final Fantasy Tactics
27,Castlevania: Symphony of the Night
26,Max Payne
25,The Legend of Zelda: A Link to the Past
24,Planescape Torment
23,Mass Effect 2
22,Portal
21,Super Mario World
20,Final Fantasy VII
19,Super Mario 64
18,Silent Hill 2
17,Okami
16,EarthBound
15,The Last of Us
14,Super Smash Bros. Melee
13,Super Metroid
12,The Legend of Zelda: Ocarina of Time
11,Resident Evil 4
10,Tetris
9,Metroid Prime
8,Portal 2
7,Nier: Automata
6,Chrono Trigger
5,Shadow of the Colossus
4,Super Mario Bros. 3
3,Final Fantasy VI
2,Red Dead Redemption
1,The Legend of Zelda: Majora's Mask
