RANK,GAME
50,Portal 2
49,Bloodborne
48,Batman: Arkham City
47,Donkey Kong Country
46,StarCraft
45,Dark Souls
44,Resident Evil 2 Remake
43,World of Warcraft
42,Minecraft
41,Dota 2
40,Red Dead Redemption
39,Halo 2
38,Sonic the Hedgehog 2
37,Call of Duty: Modern Warfare 2
36,Grand Theft Auto: Vice City
35,The Legend of Zelda: A Link to the Past
34,Mass Effect 2
33,Gran Turismo 3: A-Spec
32,Tekken 3
31,Counter-Strike: Global Offensive
30,The Legend of Zelda: Majora's Mask
29,Diablo II
28,Grand Theft Auto: San Andreas
27,Red Dead Redemption 2
26,Overwatch
25,Metal Gear
24,Tony Hawk's Pro Skater 2
23,SoulCalibur
22,Chrono Trigger
21,The Witcher 3: Wild Hunt
20,Metroid Prime
19,BioShock
18,The Elder Scrolls V: Skyrim
17,Perfect Dark
16,Resident Evil 4
15,The Last of Us
14,Half-Life 2
13,Halo: Combat Evolved
12,Super Mario Galaxy 2
11,Pokemon Red and Blue
11,Pokemon Yellow
10,God of War (2018)
9,Super Mario Galaxy
8,League of Legends
7,The Legend of Zelda: Breath of the Wild
6,Final Fantasy VII
5,Super Mario World
4,Super Mario Bros.
3,GoldenEye 007
2,Grand Theft Auto V
1,The Legend of Zelda: Ocarina of Time
