RANK,GAME,NOTES
100,Dirt Rally,
99,Assassin's Creed IV: Black Flag,
98,World of Warcraft,
97,Professor Layton and the Curious Village,
96,SOMA,
95,TimeSplitters: Future Perfect,
94,The Legend of Zelda: Twilight Princess,
93,Persona 4,*Listed as Persona 4 Golden
92,GoldenEye 007,
91,Animal Crossing: Wild World,
90,Hearthstone,
89,Fire Emblem: Three Houses,
88,Streets of Rage 2,
87,Fortnite,
86,Dragon Age: Inquisition,
85,Guitar Hero III,
84,Undertale,
83,Tom Clancy's Rainbow Six: Vegas 2,
82,Shadow of the Colossus,
81,Total War: Warhammer 2,
80,Thirty Flights of Loving,
79,To The Moon,
78,Left 4 Dead 2,
77,Super Smash Bros. Ultimate,
76,Star Wars: Knights of the Old Republic,
75,Ori and the Will of the Wisps,
74,Tony Hawk's Pro Skater 2,
73,Mass Effect 2,
72,Tomb Raider II,
71,Resident Evil 2 Remake,
70,League of Legends,
69,Hitman (2016),
68,The Sims 2,
67,Super Hexagon,
66,Doom,
65,Fable,
64,Little Big Planet,
63,Super Metroid,
62,RuneScape,
61,Nier: Automata,
60,Silent Hill 2,
59,Gears of War 2,
58,Dishonored,
57,Red Dead Redemption 2,
56,Oxenfree,
55,The Legend of Zelda: A Link to the Past,
54,The Secret of Monkey Island,
53,Metal Gear Solid: Peace Walker,
52,Halo: Combat Evolved,
51,Pokemon Red and Blue,
51,Pokemon Yellow,
50,The Legend of Zelda: The Wind Waker,
49,Persona 5,*Listed as Persona 5 Royal
48,Hades,
47,Metroid Prime,
46,Pokemon FireRed and LeafGreen,
45,Titanfall 2,
44,Tekken 3,
43,Into the Breach,
42,Life is Strange,
41,BioShock,
40,Prey (2017),
39,Rocket League,
38,Final Fantasy VII,
37,Celeste,
36,Street Fighter II,
35,Resident Evil 4,
34,Marvel's Spider-Man,
33,Overwatch,
32,Half-Life 2,
31,Red Dead Redemption,
30,Uncharted 2: Among Thieves,
29,Call of Duty: Black Ops,
28,Super Mario Odyssey,
27,Disco Elysium,
26,Mario Kart 8,*Listed as Mario Kart 8 Deluxe
25,Assassin's Creed II,
24,Grand Theft Auto: San Andreas,
23,Bloodborne,
22,Pokemon Gold and Silver,
22,Pokemon Crystal,
21,The Legend of Zelda: Ocarina of Time,
20,Outer Wilds,
19,God of War (2018),
18,Metal Gear Solid,
17,Batman: Arkham City,
16,Her Story,
15,Call of Duty 4: Modern Warfare,
14,Chrono Trigger,
13,Dark Souls,
12,Sonic the Hedgehog 2,
11,Tetris,
10,Halo 3,
9,Super Mario Bros. 3,
8,Super Mario Galaxy,
7,The Last of Us,
6,Grand Theft Auto V,
5,The Elder Scrolls V: Skyrim,
4,Minecraft,
3,Portal 2,
2,The Witcher 3: Wild Hunt,
1,The Legend of Zelda: Breath of the Wild,
