GAME,NOTES
Joust,
Mappy,
Bubble Bobble,
Geometry Wars 3,
Pac-Man: Championship Edition,*Listed as Pac-Man: Championship Edition DX
TxK,
Super Mario Bros. 3,
Super Mario World 2: Yoshi's Island,
Donkey Kong Country: Tropical Freeze,
Sonic CD,
Klonoa: Door to Phantomile,
Super Meat Boy,
Shinobi,
Strider,
Ninja Gaiden,
Bionic Commando Rearmed,
Gimmick!,
Castlevania Dracula X,
Demon's Crest,
Mega Man X,
Volgarr the Viking,
Shovel Knight,
Prince of Persia,
Out of This World,
Wonder Boy III: The Dragon's Trap,
Super Metroid,
Castlevania: Symphony of the Night,
Cave Story,
Rogue Legacy,
Dust: An Elysian Tail,
Legacy of the Wizard,
The Guardian Legend,
Zelda II: The Adventure of Link,
The Legend of Zelda: Link's Awakening,
Terranigma,
Seiken Densetsu 3,
The Legend of Zelda: Majora's Mask,
Ys: The Oath in Felghana,
Mega Man Legends,
Legacy of Kain: Soul Reaver,
Okami,
Shadow of the Colossus,
Nier,
Bloodborne,
Shenmue II,
Yakuza 4,
Red Dead Redemption,
Contra: Shattered Soldier,
Turrican II,
Gunstar Heroes,
Shock Troopers,
Metal Slug 3,
Hotline Miami,
Fantasy Zone II DX,
Gradius Gaiden,
Sexy Parodius,
MUSHA,
R-Type Delta,
Batsugun,
Battle Garegga,
Ikaruga,
Mushihime-sama Futari,
Space Harrier,
Sin & Punishment: Star Successor,
Vampire Savior,
Street Fighter Alpha 3,
Street Fighter III,*Listed as Street Fighter III: Third Strike
The Last Blade II,
Garou: Mark of the Wolves,
King of Fighters 2002 Ultimate Match,
Guilty Gear XX Accent Core Plus R,
Super Smash Bros. Melee,
SoulCalibur II,
Virtua Fighter 5,
Streets of Rage 2,
Violent Storm,
Alien vs. Predator (Arcade),
Double Dragon Advance,
Guardian Heroes,
Nights Into Dreams,
Crash Bandicoot: Warped,
Psychonauts,
Super Mario Galaxy 2,
Ninja Gaiden (2004),*Listed as Ninja Gaiden Black
Otogi 2: Immortal Warriors,
God Hand,
Metal Gear Rising: Revengeance,
Bayonetta 2,
A Mind Forever Voyaging,
Monkey Island 2: LeChuck's Revenge,
Day of the Tentacle,
Grim Fandango,
Space Quest IV: Roger Wilco and the Time Rippers,
Quest for Glory IV,
Gabriel Knight: Sins of the Fathers,
Broken Sword: The Shadow of the Templars,
The Last Express,
Dreamfall: The Longest Journey,
Cosmology of Kyoto,
Snatcher,
Ghost Trick,
Stein's Gate,
"Nine Hours, Nine Persons, Nine Doors",
Danganronpa 2: Goodbye Despair,
Silent Hill,
Amnesia: The Dark Descent,
Ultima VII: The Black Gate,
Wizardry VII: Crusaders of the Dark Savant,
Realms of Arkania 2: Star Trail,
Diablo II,
Fallout 2,
Planescape Torment,
Arcanum,
Baldur's Gate II: Shadows of Amn,
Star Wars Knights of the Old Republic 2: The Sith Lords,
The Witcher 3: Wild Hunt,
Legend of Grimrock II,
Star Control 2,
X-COM: UFO Defense,
Jagged Alliance 2,
Final Fantasy V,
Final Fantasy VI,
Dragon Quest V,
Chrono Trigger,
EarthBound,
Suikoden II,
Phantasy Star IV: The End of the Millennium,
Panzer Dragoon Saga,
Shin Megami Tensei III: Nocturne,
Persona 4,*Listed as Persona 4 Golden
Breath of Fire Dragon Quarter,
The World Ends With You,
Xenoblade Chronicles,
Etrian Odyssey III,
Barkley Shut Up and Jam Gaiden,
Final Fantasy Tactics,
Fire Emblem: Path of Radiance,
Advance Wars: Days of Ruin,
Front Mission 5,
Valkyria Chronicles,
Dragon Force,
Command & Conquer: Red Alert 2,
StarCraft,
Total Annihilation,
Homeworld,
Company of Heroes,
Age of Empires II: The Age of Kings,
Total War: Rome,
Heroes of Might and Magic III,
Crusader Kings II,
Sid Meier's Civilization IV,
Alpha Centauri,
Sid Meier's Pirates!,
SimCity 4,
Doom,
Bloodborne,
Star Wars Jedi Knight: Dark Forces II,
No One Lives Forever,
Perfect Dark,
Half-Life 2,
F.E.A.R.,
SWAT 4,
Crysis,
Bulletstorm,
System Shock 2,
Deus Ex,
Thief II: The Metal Age,
Metroid Prime,
The Elder Scrolls III: Morrowind,
Vampire The Masquerade: Bloodlines,
S.T.A.L.K.E.R.: Shadow of Chernobyl,
Max Payne 2: The Fall of Max Payne,
Resident Evil 4,
Killer7,
Freedom Fighters,
The Last of Us,
Mirror's Edge,
Portal 2,
Star Wars: TIE Fighter,
Freespace 2,
Metal Gear Solid 3: Snake Eater,
Splinter Cell: Chaos Theory,
Hitman: Blood Money,
Burnout 3: Takedown,
OutRun 2006: Coast 2 Coast,
Sonic & All Stars Racing Transformed,
F-Zero X,
Mike Tyson's Punch Out!!,
SSX 3,
Jet Set Radio,
Saturn Bomberman,
Worms Armageddon,
Puyo Puyo 2,
Twinkle Star Sprites,
Windjammers,
Lemmings,
Elite Beat Agents,
Space Channel 5 Part 2,
Devil's Crush,
Typing of the Dead,
