RANK,GAME
3,Destiny
3,Ultimate Marvel vs. Capcom 3
3,Bejeweled
3,The Witcher 3: Wild Hunt
3,DJ Hero 2
3,Super Meat Boy
3,Oddworld: Abe's Oddysee
3,Gravity Rush
2,Metroid Prime
2,Tomb Raider II
2,World of Warcraft
2,Chrono Trigger
2,Red Dead Redemption 2
2,To The Moon
2,Grand Theft Auto: Vice City
2,Sid Meier's Civilization III
1,A Mind Forever Voyaging
1,Crash Bandicoot 2: Cortex Strikes Back
1,Golden Sun: The Lost Age
1,The Last of Us
1,The Legend of Zelda: Majora's Mask
1,Paper Mario
1,Stardew Valley
1,Wipeout
