RANK,GAME,NOTES
50,Mario Kart Wii,
49,Ninja Gaiden II (2008),
48,Apollo Justice: Ace Attorney,
47,Sonic Chronicles: The Dark Brotherhood,
46,SoulCalibur IV,
45,Boom Blox,
44,MotorStorm: Pacific Rift,
43,Viva Pinata,
42,Lego Batman: The Videogame,
41,Devil May Cry 4,*Listed as Devil May Cry
40,Race Driver: GRID,
39,Condemned 2: Bloodshot,
38,Lost Odyssey,
37,Burnout Paradise,
36,Viking: Battle For Asgard,
35,Tom Clancy's EndWar,
34,Sid Meier's Civilization Revolution,
33,Pure,
32,Command & Conquer: Red Alert 3,
31,Warhammer Online: Age of Reckoning,
30,Tomb Raider: Underworld,
29,De Blob,
28,Saints Row 2,
27,Zack & Wiki: The Quest for Barbaros' Treasure,
26,The World Ends With You,
25,Midnight Club: Los Angeles,
24,LocoRoco 2,
23,Resistance 2,
22,Prince of Persia (2008),
21,Mirror's Edge,
20,Siren: Blood Curse,
19,Super Smash Bros. Brawl,
18,Sins of a Solar Empire,
17,Call of Duty: World At War,
16,Patapon,
15,FIFA 09,
14,Metal Gear Solid 4: Guns of the Patriots,
13,God of War: Chains of Olympus,
12,Far Cry 2,
11,Dead Space,
10,Professor Layton and the Curious Village,
9,Left 4 Dead,
8,No More Heroes,
7,Grand Theft Auto IV,
6,Spore,
5,Gears of War 2,
4,Rock Band 2,
3,Little Big Planet,
2,Fallout 3,
1,Fable II,
