PUBLICATION,GAME,
Destructoid,Portal 2,
Giant Bomb,The Elder Scrolls V: Skyrim,
GameTrailers,Uncharted 3: Drake's Deception,
Edge,The Legend of Zelda: Skyward Sword,
Famitsu,Monster Hunter Tri,*Listed as Monster Hunter Tri G
GameSpot,The Elder Scrolls V: Skyrim,
IGN,Portal 2,
Golden Joystick Awards,Portal 2,
Game Developers Choice Awards,The Elder Scrolls V: Skyrim,
Game Awards,The Elder Scrolls V: Skyrim,
D.I.C.E. Awards,The Elder Scrolls V: Skyrim,
BAFTA,Portal 2,
X-Play,The Elder Scrolls V: Skyrim,
Game Informer,The Elder Scrolls V: Skyrim,
NAVGTR,Minecraft
New York Game Awards,The Elder Scrolls V: Skyrim
