RANK,GAME,NOTES
25,Tokyo Jungle,
24,Halo 4,
23,The Darkness II,
22,Need for Speed: Most Wanted (2012),
21,Zero Escape: Virtue's Last Reward,
20,Diablo 3,
19,Resident Evil 6,
18,Tales of Graces f,
17,Fez,
16,Mass Effect 3,
15,Darksiders II,
14,Dust: An Elysian Tail,
13,Gravity Rush,
12,New Super Mario Bros. U,
11,Persona 4,*Listed as Persona 4 Golden
10,Dishonored,
9,Hitman: Absolution,
8,Assassin's Creed III,
7,Call of Duty: Black Ops 2,
6,Journey,
5,Sleeping Dogs,
4,The Walking Dead,
3,XCOM: Enemy Unknown,
2,Borderlands 2,
1,Far Cry 3,
