RANK,GAME,NOTES
Unranked,80 Days,
Unranked,1001 Spikes,
Unranked,Banner Saga,
Unranked,Captain Toad: Treasure Tracker,
Unranked,Danganronpa: Trigger Happy Havoc,
Unranked,Desert Golfing,
Unranked,Destiny,
Unranked,Divinity: Original Sin,
Unranked,Fantasy Life,
Unranked,Gang Beasts,
Unranked,Hohokum,
Unranked,Hoplite,
Unranked,Jazzpunk,
Unranked,Kim Kardashian: Hollywood,
Unranked,The Long Dark,
Unranked,Shadow of Mordor,
Unranked,Rust,
Unranked,Samurai Gunn,
Unranked,Shovel Knight,
Unranked,Threes,
Unranked,Titanfall,
Unranked,Towerfall Ascension,
Unranked,This War of Mine,
