RANK,GAME,NOTES
25,Titanfall,
24,Hohokum,
23,FIFA 15,*Tied with PES 15
23,Pro Evolution Soccer 2015,*Tied with FIFA 15
22,OlliOlli,
21,Banner Saga,
20,The Evil Within,
19,Civilization: Beyond Earth,
18,Call of Duty: Advanced Warfare,
17,Hearthstone,
16,Divinity: Original Sin,
15,The Vanishing of Ethan Carter,
14,Dragon Age: Inquisition,
13,Wolfenstein: The New Order,
12,South Park: The Stick of Truth,
11,Never Alone,
10,Dark Souls II,
9,Far Cry 4,
8,Super Smash Bros. for Wii U,
7,This War of Mine,
6,Shadow of Mordor,
5,Forza Horizon 2,
4,Alien: Isolation,
3,Destiny,
2,Bayonetta 2,
1,Mario Kart 8,
