RANK,GAME,NOTES
25,FIFA 16,
24,Forza Motorsport 6,
23,Life is Strange,
22,Star Wars Battlefront (2015),
21,Heroes of the Storm,
20,Guitar Hero Live,
19,Tales from the Borderlands,
18,Yo-kai Watch,
17,Splatoon,
16,Call of Duty: Black Ops 3,
15,Mortal Kombat X,
14,Rocket League,
13,StarCraft II: Legacy of the Void,
12,Batman: Arkham Knight,
11,Assassin's Creed: Syndicate,
10,Super Mario Maker,
9,Rise of the Tomb Raider,
8,Bloodborne,
7,Final Fantasy Type-0 HD,
6,Xenoblade Chronicles X,
5,Until Dawn,
4,Halo 5: Guardians,
3,The Witcher 3: Wild Hunt,
2,Fallout 4,
1,Metal Gear Solid V: The Phantom Pain,
