RANK,GAME,NOTES
20,Monster Hunter 4,*Listed as Monster Hunter 4 Ultimate
19,SOMA,
18,Pro Evolution Soccer 2016,
17,Halo 5: Guardians,
16,Ori and the Blind Forest,
15,Star Wars Battlefront (2015),
14,Life is Strange,
13,Her Story,
12,Assassin's Creed: Syndicate,
11,Tales from the Borderlands,
10,Splatoon,
9,Until Dawn,
8,Batman: Arkham Knight,
7,Rocket League,
6,Super Mario Maker,
5,Rise of the Tomb Raider,
4,Fallout 4,
3,Bloodborne,
2,The Witcher 3: Wild Hunt,
1,Metal Gear Solid V: The Phantom Pain,
