RANK,GAME,
25,Banner Saga 2,
24,The Legend of Zelda: Twilight Princess,*Listed as The Legend of Zelda: Twilight Princess HD
23,Deus Ex: Mankind Divided,
22,Hitman (2016),
21,Day of the Tentacle,*Listed as Day of the Tentacle (Remastered)
20,Total War: Warhammer,
19,The Elder Scrolls V: Skyrim,*Listed as The Elder Scrolls V: Skyrim - Special Edition
18,Forza Horizon 3,
17,Battlefield 1,
16,Titanfall 2,
15,Fire Emblem Fates,
14,Final Fantasy XV,
13,The Witness,
12,Oxenfree,
11,Doom (2016),
10,Dishonored 2,
9,Sid Meier's Civilization VI,
8,Firewatch,
7,The Last Guardian,
6,The Witcher 3: Blood & Wine,
5,Inside,
4,XCOM 2: War of the Chosen,
3,Dark Souls III,
2,Overwatch,
1,Uncharted 4: A Thief's End,
