PUBLICATION,GAME
Destructoid,Overwatch
Giant Bomb,Hitman (2016)
Easy Allies,The Last Guardian
Edge,The Last Guardian
Famitsu,Pokemon Sun and Moon
GameSpot,Overwatch
IGN,Overwatch
Golden Joystick Awards,Dark Souls III
Game Developers Choice Awards,Overwatch
Game Awards,Overwatch
D.I.C.E. Awards,Overwatch
BAFTA,Uncharted 4: A Thief's End
SXSW Gaming Awards,Uncharted 4: A Thief's End
Japan Game Awards,Splatoon
GamesRadar+,Titanfall 2
Game Informer,Overwatch
UsGamer,Overwatch
NAVGTR,Overwatch
New York Game Awards,Uncharted 4: A Thief's End
