RANK,GAME
25,What Remains of Edith Finch
24,Golf Story
23,Tom Clancy's Ghost Recon Wildlands
22,Arms
21,Uncharted: The Lost Legacy
20,Call of Duty: World War II
19,Hellblade: Senua's Sacrifice
18,The Sexy Brutale
17,Pyre
16,Doki Doki Literature Club
15,Shadow of Mordor
14,Mario + Rabbids: Kingdom Battle
13,Sonic Mania
12,South Park: The Fractured But Whole
11,Injustice 2
10,Nier: Automata
9,Prey (2017)
8,Persona 5
7,Resident Evil 7
6,Assassin's Creed: Origins
5,Wolfenstein 2: The New Colossus
4,Super Mario Odyssey
3,Horizon: Zero Dawn
2,Cuphead
1,The Legend of Zelda: Breath of the Wild
