RANK,GAME,NOTES
Unranked,Assassin's Creed Odyssey,
Unranked,Astro Bot Rescue Mission,
Unranked,Call of Duty: Black Ops 4,
Unranked,Celeste,
Unranked,Dead Cells,
Unranked,Dragon Ball FighterZ,
Unranked,Far: Lone Sails,
Unranked,Firewall Zero Hour,
Unranked,Florence,
Unranked,Fortnite,
Unranked,Forza Horizon 4,
Unranked,Frostpunk,
Unranked,God of War (2018),
Unranked,Hollow Knight,
Unranked,Into the Breach,
Unranked,Nintendo Labo,
Unranked,Laser League,
Unranked,Minit,
Unranked,Monster Boy and the Cursed Kingdom,
Unranked,Monster Hunter: World,
Unranked,Octopath Traveler,
Unranked,"Pokemon Let's Go Pikachu and Eevee",
Unranked,Red Dead Redemption 2,
Unranked,Return of the Obra Dinn,
Unranked,Sea of Thieves,
Unranked,Marvel's Spider-Man,
Unranked,Subnautica,
Unranked,Super Smash Bros. Ultimate,
Unranked,Tetris Effect,
Unranked,Thronebreaker: The Witcher Tales,
