RANK,GAME,NOTES
Unranked,The Last of Us Part II,
Unranked,Final Fantasy VII Remake,
Unranked,Demon's Souls,*Listed as Demon's Souls (2020)
Unranked,Animal Crossing: New Horizons,
Unranked,Ghost of Tsushima,
Unranked,Doom Eternal,
Unranked,Dreams,
Unranked,Tony Hawk's Pro Skater,*Listed as Tony Hawk's Pro Skater 1 + 2
Unranked,Tony Hawk's Pro Skater 2,*Listed as Tony Hawk's Pro Skater 1 + 2
Unranked,Fall Guys,
Unranked,Crash Bandicoot 4: It's About Time,
Unranked,Call of Duty: Black Ops Cold War,*Selected the zombies mode specifically
