RANK,GAME,NOTES
20,Age of Empires 4,
19,Monster Hunter Rise,
18,Marvel's Guardians of the Galaxy,
17,Life is Strange: True Colors,
16,The Dark Pictures Anthology: House of Ashes,
15,Mass Effect,*Listed as Mass Effect Legendry
15,Mass Effect 2,*Listed as Mass Effect Legendry
15,Mass Effect 3,*Listed as Mass Effect Legendry
14,Hitman 3,
13,Disco Elysium,*Listed as Disco Elysium: The Final Cut
12,Returnal,
11,Tales of Arise,
10,Chorus,
9,Ratchet & Clank: Rift Apart,
8,Super Mario 3D World,*Listed as Super Mario 3D World + Bowser's Fury
8,Bowser's Fury,*Listed as Super Mario 3D World + Bowser's Fury
7,Persona 5 Strikers,
6,Resident Evil Village,
5,Final Fantasy VII Remake Intergrade,
4,Forza Horizon 5,
3,Metroid Dread,
2,Halo Infinite,
1,Deathloop,
