RANK,GAME,NOTES
50,Immortality,
49,Poinpy,
48,Tinykin,
47,Monster Hunter Rise: Sunbreak,
46,Serial Cleaners,
45,Ghostwire: Tokyo,
44,Tiny Tina's Wonderlands,
43,I Was A Teenage Exocolonist,
42,Rollerdrome,
41,Dorfromantik,
40,Horizon: Forbidden West,
39,Pokemon Scarlet and Violet,
38,Metal: Hellsinger,
37,Rogue Legacy 2,
36,Perfect Tides,
35,League of Legends,*Season 12
34,Gran Turismo 7,
33,Splatoon 3,
32,A Plague Tale: Requiem,
31,Stray,
30,Teenage Mutant Ninja Turtles: Shredder's Revenge,
29,Final Fantasy XIV: Endwalker,
28,Raft,
27,The Quarry,
26,"Warhammer 40,000: Darktide",
25,NBA 2k23,
24,Plateup!,
23,Tunic,
22,Total War: Warhammer 3,
21,Disney Dreamlight Valley,
20,Xenoblade Chronicles 3,
19,Nobody Saves the World,
18,Cult of the Lamb,
17,Kirby and the Forgotten Land,
16,Return to Monkey Island,
15,Norco,
14,Mario + Rabbids: Sparks of Hope,
13,Neon White,
12,Signalis,
11,Strange Horticulture,
10,God of War: Ragnarok,
9,PowerWash Simulator,
8,Pokemon Legends: Arceus,
7,Marvel Snap,
6,Pentiment,
5,Fortnite,
4,Vampire Survivors,
3,The Case of the Golden Idol,
2,Citizen Sleeper,
1,Elden Ring,
